founder_id	vial_id	generation	males	females
E100	E106c	F2	5	1
E100	E111a	F2	10	5
E100	E111b	F2	4	6
E100	E111c	F2	0	6
E100	E111d	F2	21	10
E100	E111e	F2	7	7
E100	E112a	F2	10	7
E100	E112b	F2	6	8
E100	E112c	F2	9	5
E100	E112d	F2	18	5
E100	E112e	F2	2	3
F100	F101a	F2	11	12
F100	F101b	F2	3	4
F100	F101c	F2	4	2
F100	F103a	F2	5	2
F100	F103b	F2	9	5
F100	F103c	F2	2	3
F100	F103d	F2	9	7
F100	F103e	F2	12	4
F100	F104a	F2	2	2
F100	F104b	F2	2	6
F100	F104c	F2	10	4
F100	F104d	F2	5	0
F100	F104e	F2	16	3
F100	F105a	F2	6	3
F100	F105b	F2	10	4
F100	F105c	F2	5	0
F100	F105d	F2	17	5
F100	F105e	F2	9	3
F100	F110a	F2	24	4
F100	F110b	F2	10	4
F100	F110c	F2	2	5
F100	F110d	F2	5	3
F100	F110e	F2	5	1
F100	F111a	F2	11	1
F100	F111b	F2	13	10
F100	F111c	F2	10	3
F100	F111d	F2	10	1
F100	F111e	F2	2	0
G100	G102a	F2	5	11
G100	G102b	F2	7	11
G100	G102c	F2	5	4
G100	G102d	F2	12	12
G100	G104a	F2	10	7
G100	G104b	F2	5	17
G100	G104c	F2	13	21
G100	G104d	F2	12	12
G100	G104e	F2	7	12
G100	G105b	F2	4	2
G100	G105c	F2	4	6
G100	G105d	F2	9	6
G100	G106a	F2	6	5
G100	G106b	F2	11	3
G100	G106d	F2	5	10
G100	G106e	F2	9	13
G100	G107a	F2	2	3
G100	G107b	F2	6	2
G100	G107c	F2	14	1
G100	G107e	F2	14	1
G100	G110a	F2	14	3
G100	G110b	F2	4	3
G100	G110c	F2	2	3
G100	G110d	F2	13	7
G100	G110e	F2	9	5
G100	G112a	F2	23	1
H100	H102a	F2	0	1
H100	H102c	F2	1	12
H100	H102d	F2	0	2
H100	H104a	F2	0	2
H100	H104b	F2	0	1
H100	H104d	F2	2	0
H100	H104e	F2	10	5
H100	H107a	F2	14	8
H100	H107b	F2	10	7
H100	H107d	F2	0	1
H100	H107e	F2	1	0
H100	H108a	F2	1	8
H100	H108c	F2	13	6
H100	H108e	F2	0	1
H100	H110a	F2	1	0
H100	H110b	F2	1	3
H100	H110c	F2	6	10
