founder_id	mother_vial_id	vial_id	treatment	males	females
F100	F103	F103e	18	12	4
F100	F104	F104a	18	2	2
F100	F104	F104b	18	2	6
F100	F104	F104c	18	10	4
F100	F104	F104d	18	5	0
F100	F104	F104e	18	16	3
F100	F105	F105a	18	6	3
F100	F105	F105b	18	10	4
F100	F105	F105c	18	5	0
F100	F105	F105d	18	17	5
F100	F105	F105e	18	9	3
F100	F106	F106b	12	9	14
F100	F106	F106c	12	13	16
F100	F107	F107a	12	9	19
F100	F109	F109a	12	14	5
F100	F109	F109b	12	18	4
F100	F109	F109c	12	4	4
F100	F110	F110a	18	24	4
F100	F110	F110b	18	10	4
F100	F110	F110c	18	2	5
F100	F110	F110d	18	5	3
F100	F110	F110e	18	5	1
F100	F111	F111a	18	11	1
F100	F111	F111b	18	13	10
F100	F111	F111c	18	10	3
F100	F111	F111d	18	10	1
F100	F111	F111e	18	2	0
F100	F114	F114b	12	1	0
F100	F114	F114c	12	12	1
F100	F114	F114d	12	19	6
F100	F114	F114e	12	6	10
F100	F115	F115a	25	0	1
F100	F115	F115b	25	8	4
F100	F115	F115c	25	3	8
F100	F115	F115d	25	9	1
F100	F115	F115e	25	3	23
G100	G102	G102a	18	5	11
G100	G102	G102b	18	7	11
G100	G102	G102c	18	5	4
G100	G102	G102d	18	12	12
G100	G103	G103a	25	6	2
G100	G103	G103b	25	11	8
G100	G103	G103d	25	3	6
G100	G103	G103e	25	22	8
G100	G104	G104a	18	10	7
G100	G104	G104b	18	5	17
G100	G104	G104c	18	13	21
G100	G104	G104d	18	12	12
G100	G104	G104e	18	7	12
G100	G105	G105b	18	4	2
G100	G105	G105c	18	4	6
G100	G105	G105d	18	9	6
G100	G106	G106a	18	6	5
G100	G106	G106b	18	11	3
G100	G106	G106d	18	5	10
G100	G106	G106e	18	9	13
G100	G107	G107a	18	2	3
G100	G107	G107b	18	6	2
G100	G107	G107c	18	14	1
G100	G107	G107e	18	14	1
G100	G108	G108a	12	2	1
G100	G108	G108d	12	12	12
G100	G108	G108e	12	8	13
G100	G110	G110a	18	14	3
G100	G110	G110b	18	4	3
G100	G110	G110c	18	2	3
G100	G110	G110d	18	13	7
G100	G110	G110e	18	9	5
G100	G112	G112a	18	23	1
G100	G114	G114a	12	28	5
G100	G114	G114c	12	15	18
G100	G114	G114d	12	44	10
H100	H102	H102a	18	0	1
H100	H102	H102c	18	1	12
H100	H102	H102d	18	0	2
H100	H103	H103a	12	1	9
H100	H103	H103b	12	1	1
H100	H103	H103c	12	7	15
H100	H103	H103d	12	20	16
H100	H104	H104a	18	0	2
H100	H104	H104b	18	0	1
H100	H104	H104d	18	2	0
H100	H104	H104e	18	10	5
H100	H107	H107a	18	14	8
H100	H107	H107b	18	10	7
H100	H107	H107d	18	0	1
H100	H107	H107e	18	1	0
H100	H108	H108a	18	1	8
H100	H108	H108c	18	13	6
H100	H108	H108e	18	0	1
H100	H109	H109a	12	1	2
H100	H109	H109b	12	2	1
H100	H109	H109c	12	2	7
H100	H109	H109d	12	1	0
H100	H109	H109e	12	1	0
H100	H110	H110a	18	1	0
H100	H110	H110b	18	1	3
H100	H110	H110c	18	6	10
H100	H110	H110d	18	1	0
H100	H110	H110e	18	0	1
H100	H113	H113a	18	0	3
H100	H113	H113b	18	5	13
H100	H113	H113c	18	1	0
H100	H114	H114b	18	5	3
H100	H114	H114c	18	3	1
H100	H114	H114e	18	7	12
I100	I101	I101a	25	9	2
I100	I101	I101b	25	12	2
I100	I101	I101c	25	2	12
I100	I101	I101d	25	8	5
I100	I101	I101e	25	18	7
I100	I102	I102a	18	19	13
I100	I102	I102b	18	1	4
I100	I102	I102c	18	0	3
I100	I102	I102d	18	3	10
I100	I103	I103a	25	1	3
I100	I103	I103b	25	5	20
I100	I103	I103c	25	1	2
I100	I106	I106a	18	7	4
I100	I107	I107a	18	1	0
I100	I107	I107b	18	0	1
I100	I107	I107c	18	12	4
I100	I107	I107d	18	1	4
I100	I107	I107e	18	10	1
I100	I108	I108b	12	9	4
I100	I108	I108c	12	0	1
I100	I110	I110a	12	3	0
I100	I110	I110b	12	1	1
I100	I110	I110d	12	3	2
I100	I111	I111a	18	6	16
I100	I111	I111d	18	4	5
I100	I111	I111e	18	0	3
J100	J101	J101a	25	12	9
J100	J101	J101b	25	2	0
J100	J101	J101c	25	8	1
J100	J101	J101d	25	19	8
J100	J101	J101e	25	6	13
J100	J102	J102a	18	0	2
J100	J102	J102b	18	12	12
J100	J102	J102c	18	1	3
J100	J102	J102d	18	17	40
J100	J102	J102e	18	0	1
J100	J104	J104a	18	13	18
J100	J105	J105b	12	3	5
J100	J105	J105c	12	0	4
J100	J106	J106b	18	24	17
J100	J106	J106c	18	0	6
J100	J106	J106d	18	27	8
J100	J106	J106e	18	46	9
J100	J107	J107c	18	1	0
J100	J107	J107d	18	2	0
J100	J108	J108a	12	42	27
J100	J108	J108b	12	18	13
J100	J108	J108c	12	19	5
J100	J108	J108d	12	5	11
J100	J108	J108e	12	1	1
J100	J109	J109c	12	7	16
J100	J109	J109d	12	0	2
J100	J109	J109e	12	8	13
J100	J110	J110a	12	3	3
J100	J110	J110b	12	4	1
J100	J112	J112a	12	9	10
J100	J112	J112b	12	0	2
J100	J112	J112c	12	0	1
J100	J112	J112d	12	1	5
J100	J112	J112e	12	7	2
J100	J113	J113a	25	4	6
J100	J113	J113b	25	3	4
J100	J113	J113c	25	0	4
J100	J114	J114a	25	9	22
J100	J114	J114b	25	16	28
J100	J114	J114c	25	0	1
J100	J114	J114d	25	9	23
J100	J114	J114e	25	9	19
J100	J115	J115b	12	1	7
J100	J115	J115c	12	2	12
J100	J115	J115e	12	0	1
K100	K101	K101b	18	1	0
K100	K101	K101c	18	1	1
K100	K101	K101d	18	15	12
L100	L102	L102a	25	1	0
L100	L102	L102b	25	15	5
L100	L103	L103a	18	11	4
L100	L103	L103b	18	7	6
L100	L106	L106a	25	8	5
L100	L106	L106b	25	8	2
L100	L106	L106c	25	0	2
L100	L107	L107b	18	2	8
L100	L107	L107c	18	2	6
L100	L108	L108a	12	0	3
L100	L108	L108b	12	5	7
L100	L109	L109a	12	1	5
L100	L110	L110a	18	1	1
L100	L110	L110c	18	1	0
L100	L110	L110d	18	0	3
L100	L110	L110e	18	1	8
L100	L114	L114a	18	8	3
L100	L114	L114b	18	4	1
L100	L114	L114c	18	5	0
N100	N102	N102a	25	0	12
N100	N102	N102b	25	5	6
N100	N102	N102d	25	0	1
N100	N102	N102e	25	1	1
N100	N103	N103a	18	17	29
