founder_id	mother_vial_id	mother_generation	mother_males	mother_females	daughter_vial_id	daughter_generation	daughter_males	daughter_females
D100	D103	F1	17	5	D103a	F2	11	6
D100	D103	F1	17	5	D103b	F2	9	8
D100	D103	F1	17	5	D103c	F2	3	3
D100	D103a	F2	11	6	D103a1	F3	2	0
D100	D103a	F2	11	6	D103a2	F3	5	1
D100	D103a2	F3	5	1	D103a2a	F4	10	5
D100	D106	F1	24	20	D106a	F2	11	9
D100	D106	F1	24	20	D106b	F2	7	5
D100	D106	F1	24	20	D106c	F2	6	1
D100	D106	F1	24	20	D106d	F2	9	10
D100	D106	F1	24	20	D106e	F2	18	5
D100	D107	F1	56	22	D107a	F2	2	1
D100	D107	F1	56	22	D107b	F2	15	7
D100	D107	F1	56	22	D107c	F2	8	2
D100	D107	F1	56	22	D107e	F2	3	3
D100	D109	F1	36	15	D109a	F2	5	2
D100	D109	F1	36	15	D109b	F2	1	3
D100	D109	F1	36	15	D109c	F2	19	4
D100	D109	F1	36	15	D109d	F2	7	4
D100	D109	F1	36	15	D109e	F2	8	5
D100	D113	F1	25	12	D113a	F2	8	8
D100	D113	F1	25	12	D113b	F2	2	10
D100	D113	F1	25	12	D113c	F2	6	6
D100	D113	F1	25	12	D113d	F2	4	3
D100	D113	F1	25	12	D113e	F2	5	6
D100	D114	F1	20	16	D114a	F2	7	10
D100	D114	F1	20	16	D114b	F2	19	9
D100	D114	F1	20	16	D114c	F2	17	3
D100	D114	F1	20	16	D114d	F2	20	7
D100	D114	F1	20	16	D114e	F2	14	9
E	E	G0	9	71	E1	F1	40	57
E	E	G0	9	71	E3	F1	26	31
E	E	G0	9	71	E4	F1	12	12
E	E	G0	9	71	E5	F1	4	10
E	E	G0	9	71	E6	F1	4	19
E	E	G0	9	71	E7	F1	16	37
E100	E100	G0	16	13	E101	F1	25	30
E100	E100	G0	16	13	E104	F1	38	28
E100	E100	G0	16	13	E106	F1	27	4
E100	E100	G0	16	13	E111	F1	22	19
E100	E100	G0	16	13	E112	F1	17	6
E100	E101	F1	25	30	E101a	F2	26	6
E100	E101	F1	25	30	E101b	F2	31	5
E100	E101	F1	25	30	E101c	F2	17	11
E100	E101	F1	25	30	E101d	F2	11	6
E100	E101	F1	25	30	E101e	F2	30	10
E100	E104	F1	38	28	104d	F2	21	2
E100	E104	F1	38	28	E104a	F2	32	13
E100	E104	F1	38	28	E104b	F2	7	0
E100	E104	F1	38	28	E104c	F2	12	7
E100	E104	F1	38	28	E104e	F2	28	17
E100	E106	F1	27	4	E106a	F2	13	4
E100	E106	F1	27	4	E106b	F2	12	3
E100	E106	F1	27	4	E106c	F2	5	1
E100	E111	F1	22	19	E111a	F2	10	5
E100	E111	F1	22	19	E111b	F2	4	6
E100	E111	F1	22	19	E111c	F2	0	6
E100	E111	F1	22	19	E111d	F2	21	10
E100	E111	F1	22	19	E111e	F2	7	7
E100	E111d	F2	21	10	E111d1	F3	1	0
E100	E111d	F2	21	10	E111d2	F3	1	1
E100	E111d	F2	21	10	E111d3	F3	2	15
E100	E111d3	F3	2	15	E111d3a	F4	0	2
E100	E111d3	F3	2	15	E111d3d	F4	20	5
E100	E111d3	F3	2	15	E111d3e	F4	10	5
E100	E112	F1	17	6	E112a	F2	10	7
E100	E112	F1	17	6	E112b	F2	6	8
E100	E112	F1	17	6	E112c	F2	9	5
E100	E112	F1	17	6	E112d	F2	18	5
E100	E112	F1	17	6	E112e	F2	2	3
F100	F100	G0	40	15	F101	F1	17	6
F100	F100	G0	40	15	F103	F1	13	10
F100	F100	G0	40	15	F104	F1	22	9
F100	F100	G0	40	15	F105	F1	11	6
F100	F100	G0	40	15	F110	F1	35	15
F100	F100	G0	40	15	F111	F1	35	27
F100	F100	G0	40	15	F112	F1	27	6
F100	F101	F1	17	6	F101a	F2	11	12
F100	F101	F1	17	6	F101b	F2	3	4
F100	F101	F1	17	6	F101c	F2	4	2
F100	F103	F1	13	10	F103a	F2	5	2
F100	F103	F1	13	10	F103b	F2	9	5
F100	F103	F1	13	10	F103c	F2	2	3
